image_path,source_name,source_url,license_type,license_url,attribution_note,permission_note,collector,checked_date,notes
datasets/raw/rice_clear_commons_0001.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field_in_Merced,_Banate,_Iloilo.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,team,2026-04-18,Exact Commons rice file page provided by user
datasets/raw/rice_clear_commons_0002.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_paddy_fields.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Attribution required as shown on the Commons file page",,team,2026-04-18,Exact Commons rice file page provided by user
datasets/raw/rice_clear_commons_0003.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:NE_rice_paddy.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Attribution required as shown on the Commons file page",,team,2026-04-18,Exact Commons rice file page provided by user
datasets/raw/rice_clear_commons_0004.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_fields_bohol_philippines_2017.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,team,2026-04-18,Exact Commons rice file page provided by user
datasets/raw/rice_clear_commons_0005.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_paddy_field_(rice_field)_in_bangladesh.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,team,2026-04-18,Exact Commons rice file page provided by user
datasets/raw/plant_not_rice_commons_0006.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sugar_cane_plant.jpg,Reusable with attribution,,"Use attribution exactly as shown on the Commons file page",,team,2026-04-18,Exact Commons non-rice plant file page provided by user
datasets/raw/plant_not_rice_commons_0007.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sugarcane_plantations_Bacolod_Philippines.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/,"Public domain dedication via CC0",,team,2026-04-18,Exact Commons non-rice plant file page provided by user
datasets/raw/plant_not_rice_commons_0008.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Vertical_houseplant_garden.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/,"Public domain dedication via CC0",,team,2026-04-18,Exact Commons non-rice plant file page provided by user
datasets/raw/plant_not_rice_commons_0009.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Epipremnum_aureum_(Marble_Queen)_houseplant.png,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,team,2026-04-18,Exact Commons non-rice plant file page provided by user
datasets/raw/plant_not_rice_commons_0010.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Basil_plant_in_a_pot_03.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,team,2026-04-18,Exact Commons non-rice plant file page provided by user
