image_path,source_name,source_url,license_type,license_url,attribution_note,permission_note,collector,checked_date,notes
datasets/raw/rice_clear_commons_0021.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice-paddy.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,"Attribution required to Angie / Wikimedia Commons",,team,2026-04-18,Accepted strong rice candidate
datasets/raw/rice_clear_commons_0022.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field.jpg,Public domain (USAID / U.S. federal government),,Public domain reuse still needs exact source note from file page,,team,2026-04-18,Accepted strong rice candidate
datasets/raw/rice_clear_commons_0024.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:NE_rice_paddy.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Attribution required as shown on the Commons file page",,team,2026-04-18,Accepted strong rice candidate
datasets/raw/rice_clear_commons_0025.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field_Corella_Bohol.jpg,Public domain,,Public domain dedication by Magalhães / Wikimedia Commons,,team,2026-04-18,Accepted strong rice candidate
datasets/raw/rice_clear_commons_0027.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Fields_from_the_outskirts_of_Sogod.jpg,CC BY-SA multi-license,https://creativecommons.org/licenses/by-sa/3.0/,"Attribution to BrianZhukov / Wikimedia Commons",,team,2026-04-18,Accepted strong rice candidate
datasets/raw/rice_clear_commons_0028.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Local_rice_paddy_fields.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Ummigarba / Wikimedia Commons",,team,2026-04-18,Accepted strong rice candidate
datasets/raw/rice_clear_commons_0031.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Asia_Rice_paddy.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/,"Public domain dedication via CC0",,team,2026-04-18,Accepted strong rice candidate
datasets/raw/rice_clear_commons_0038.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_paddy_fields.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Attribution required to Gsnewid / Wikimedia Commons",,team,2026-04-18,Accepted strong rice candidate
datasets/raw/rice_clear_commons_0039.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_field_at_Patacbo,_Basista,_Pangasinan.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Xpeculator / Wikimedia Commons",,team,2026-04-18,Accepted strong rice candidate
datasets/raw/rice_clear_commons_0044.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_paddy_field_(rice_field)_in_bangladesh.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,team,2026-04-18,Accepted strong rice candidate
datasets/raw/plant_not_rice_commons_0046.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Maize_plant.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Kenogenic / Wikimedia Commons",,team,2026-04-18,Accepted strong plant_not_rice candidate
datasets/raw/plant_not_rice_commons_0047.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wheat_Plants.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Attribution required to Skrissh / Wikimedia Commons",,team,2026-04-18,Accepted strong plant_not_rice candidate
